customer_id,total_transactions,total_amount,average_amount,most_common_txn_type,age,gender,country,account_type,signup_date,is_active,customer_age_group,customer_value_score,fraud_rate,potential_risk
CUST_000001,13,2573.5,197.96,purchase,55.0,Male,Germany,savings,2021-11-10,1,41-60,46.79090909090909,0.0,False
CUST_000002,16,2049.52,128.1,purchase,43.0,Male,Germany,checking,2022-12-08,1,41-60,47.66325581395349,0.0,False
CUST_000003,12,1165.59,97.13,purchase,38.0,Male,France,savings,2020-05-25,1,26-40,30.67342105263158,0.08333333333333333,False
CUST_000004,7,1291.69,184.53,purchase,39.0,Female,Italy,savings,2021-04-11,1,26-40,33.12025641025641,0.0,False
CUST_000005,16,2084.59,130.29,withdrawal,29.0,Female,France,checking,2022-10-01,1,26-40,71.88241379310345,0.0,False
CUST_000006,10,815.64,81.56,purchase,63.0,Male,Spain,savings,2023-05-05,1,60+,12.946666666666667,0.0,False
CUST_000007,15,1237.75,82.52,purchase,72.0,Female,Germany,checking,2021-09-22,1,60+,17.19097222222222,0.0,False
CUST_000008,16,1416.22,88.51,purchase,48.0,Female,France,savings,2021-05-28,1,41-60,29.504583333333333,0.0625,False
CUST_000009,9,1210.57,134.51,purchase,18.0,Male,Germany,checking,2020-06-04,1,18-25,67.25388888888888,0.0,False
CUST_000010,8,677.33,84.67,purchase,43.0,Female,Austria,savings,2023-12-02,0,41-60,0.0,0.125,True
CUST_000011,8,698.5,87.31,purchase,27.0,Male,Italy,savings,2023-05-17,1,26-40,25.87037037037037,0.0,False
CUST_000012,7,329.78,47.11,purchase,45.0,Male,France,checking,2023-11-28,1,41-60,7.328444444444444,0.0,False
CUST_000013,13,1748.03,134.46,purchase,40.0,Male,Spain,business,2021-05-13,1,41-60,43.70075,0.0,False
CUST_000014,9,1027.7,114.19,purchase,53.0,Female,Italy,savings,2021-11-25,0,41-60,0.0,0.0,False
CUST_000015,11,1246.08,113.28,purchase,38.0,Male,Germany,checking,2023-12-27,0,26-40,0.0,0.0,False
CUST_000016,10,1017.57,101.76,deposit,26.0,Female,France,checking,2022-07-06,1,26-40,39.137307692307694,0.0,False
CUST_000017,15,2320.56,154.7,purchase,35.0,Male,France,premium,2023-08-23,1,26-40,66.30171428571428,0.0,False
CUST_000018,18,3466.11,192.56,purchase,47.0,Male,Italy,savings,2023-06-25,1,41-60,73.74702127659575,0.05555555555555555,False
CUST_000019,16,1317.47,82.34,purchase,45.0,Female,Portugal,checking,2023-07-20,1,41-60,29.27711111111111,0.0625,False
CUST_000020,11,690.65,62.79,purchase,51.0,Non-binary,France,checking,2019-10-07,1,41-60,13.542156862745097,0.0,False
CUST_000021,17,1263.79,74.34,purchase,49.0,Female,Germany,savings,2023-11-30,1,41-60,25.791632653061225,0.0,False
CUST_000022,14,1343.54,95.97,purchase,80.0,Female,Italy,business,2023-07-22,1,60+,16.794249999999998,0.0,False
CUST_000023,14,1093.54,78.11,purchase,32.0,Female,Spain,checking,2019-05-24,1,26-40,34.173125,0.07142857142857142,False
CUST_000024,16,1774.47,110.9,purchase,65.0,Male,Netherlands,savings,2021-10-11,1,60+,27.29953846153846,0.0625,False
CUST_000025,9,984.88,109.43,purchase,25.0,Female,Germany,checking,2022-12-14,0,26-40,0.0,0.0,False
CUST_000026,16,1193.93,74.62,purchase,34.0,Other,Germany,checking,2021-04-01,1,26-40,35.11558823529412,0.0,False
CUST_000027,11,283.1,25.74,purchase,30.0,Female,Spain,checking,2022-11-16,1,26-40,9.436666666666667,0.0,False
CUST_000028,16,1266.01,79.13,purchase,66.0,Female,Netherlands,savings,2020-07-16,0,60+,0.0,0.0,False
CUST_000029,3,137.29,45.76,purchase,40.0,Male,Italy,checking,2021-03-26,1,41-60,3.43225,0.0,False
CUST_000030,7,290.32,41.47,transfer,39.0,Male,Spain,savings,2023-11-04,0,26-40,0.0,0.0,False
CUST_000031,11,672.55,61.14,purchase,26.0,Female,Belgium,premium,2019-05-08,1,26-40,25.86730769230769,0.0,False
CUST_000032,8,457.2,57.15,purchase,75.0,Male,France,checking,2021-08-19,1,60+,6.096,0.0,False
CUST_000033,16,1874.27,117.14,purchase,36.0,Male,Italy,checking,2021-01-28,1,26-40,52.06305555555556,0.0,False
CUST_000034,6,2703.36,450.56,transfer,34.0,Female,Belgium,checking,2023-12-05,1,26-40,79.51058823529412,0.0,False
CUST_000035,13,1907.47,146.73,purchase,27.0,Female,Belgium,checking,2020-07-28,0,26-40,0.0,0.0,False
CUST_000036,10,2871.99,287.2,deposit,19.0,Male,Portugal,savings,2021-09-19,1,18-25,151.1573684210526,0.0,False
CUST_000037,21,3193.37,152.07,purchase,60.0,Female,Spain,checking,2021-07-24,1,60+,53.222833333333334,0.0,False
CUST_000038,7,1431.98,204.57,purchase,33.0,Female,Germany,business,2021-03-01,1,26-40,43.39333333333333,0.14285714285714285,False
CUST_000039,12,570.71,47.56,purchase,68.0,Male,Spain,savings,2021-06-15,0,60+,0.0,0.0,False
CUST_000040,11,1606.72,146.07,withdrawal,28.0,Male,Germany,checking,2022-01-14,1,26-40,57.38285714285714,0.0,False
CUST_000041,13,1449.64,111.51,purchase,39.0,Female,France,savings,2019-08-06,1,26-40,37.170256410256414,0.0,False
CUST_000042,5,336.64,67.33,deposit,50.0,Female,Spain,savings,2022-04-18,1,41-60,6.7328,0.0,False
CUST_000043,13,1365.15,105.01,purchase,22.0,Male,Italy,checking,2023-11-18,0,18-25,0.0,0.07692307692307693,False
CUST_000044,15,983.03,65.54,purchase,27.0,Female,Belgium,business,2020-11-21,1,26-40,36.40851851851852,0.0,False
CUST_000045,9,747.53,83.06,purchase,20.0,Female,Germany,checking,2022-06-30,1,18-25,37.3765,0.0,False
CUST_000046,13,1644.84,126.53,purchase,35.0,Male,Austria,checking,2022-05-04,1,26-40,46.99542857142857,0.0,False
CUST_000047,14,1783.91,127.42,transfer,30.0,Other,France,checking,2021-07-08,1,26-40,59.46366666666667,0.0,False
CUST_000048,9,530.69,58.97,purchase,33.0,Male,France,savings,2023-03-29,1,26-40,16.081515151515152,0.0,False
CUST_000049,9,904.41,100.49,purchase,34.0,Female,France,premium,2020-01-31,0,26-40,0.0,0.0,False
CUST_000050,7,1616.35,230.91,purchase,24.0,Male,Italy,business,2021-12-28,1,18-25,67.34791666666666,0.0,False
CUST_000051,14,1213.74,86.7,purchase,73.0,Female,France,savings,2022-04-24,1,60+,16.626575342465753,0.0,False
CUST_000052,13,1284.99,98.85,deposit,20.0,Male,Belgium,savings,2022-01-02,1,18-25,64.2495,0.0,False
CUST_000053,10,507.31,50.73,purchase,49.0,Male,Portugal,checking,2022-05-02,1,41-60,10.353265306122449,0.0,False
CUST_000054,23,3749.81,163.04,withdrawal,77.0,Female,Italy,savings,2019-08-05,1,60+,48.69883116883117,0.0,False
CUST_000055,10,907.21,90.72,withdrawal,70.0,Male,France,savings,2019-02-08,1,60+,12.960142857142857,0.0,False
CUST_000056,10,567.6,56.76,purchase,48.0,Female,France,checking,2020-01-22,1,41-60,11.825000000000001,0.0,False
CUST_000057,17,1820.45,107.09,purchase,46.0,Male,Belgium,savings,2020-11-15,0,41-60,0.0,0.0,False
CUST_000058,13,1372.01,105.54,purchase,37.0,Male,Germany,checking,2023-04-05,1,26-40,37.08135135135135,0.0,False
CUST_000059,16,1690.66,105.67,purchase,43.0,Male,Belgium,savings,2021-08-28,1,41-60,39.31767441860465,0.0,False
CUST_000060,13,1070.11,82.32,purchase,30.0,Male,France,checking,2020-11-28,1,26-40,35.67033333333333,0.0,False
CUST_000061,16,1550.81,96.93,purchase,31.0,Male,Germany,checking,2023-10-14,1,26-40,50.02612903225806,0.0,False
CUST_000062,9,756.72,84.08,purchase,59.0,Male,Spain,checking,2020-03-25,1,41-60,12.825762711864407,0.0,False
CUST_000063,9,1084.13,120.46,purchase,78.0,Male,France,checking,2019-06-26,1,60+,13.899102564102565,0.0,False
CUST_000064,17,2428.32,142.84,purchase,18.0,Male,Belgium,checking,2020-05-25,1,18-25,134.90666666666667,0.0,False
CUST_000065,12,1114.16,92.85,purchase,30.0,Male,France,checking,2021-09-23,1,26-40,37.13866666666667,0.0,False
CUST_000066,9,1773.6,197.07,deposit,39.0,Female,Italy,checking,2023-12-01,1,26-40,45.47692307692307,0.0,False
CUST_000067,10,883.05,88.3,purchase,32.0,Female,Germany,business,2019-09-25,1,26-40,27.5953125,0.0,False
CUST_000068,14,1324.21,94.59,purchase,55.0,Female,Italy,premium,2020-07-31,1,41-60,24.076545454545457,0.0,False
CUST_000069,10,1030.16,103.02,purchase,27.0,Female,Spain,business,2020-03-22,1,26-40,38.154074074074074,0.0,False
CUST_000070,13,876.97,67.46,purchase,50.0,Female,Spain,checking,2021-03-07,1,41-60,17.5394,0.07692307692307693,False
CUST_000071,20,3633.64,181.68,deposit,30.0,Female,France,savings,2019-07-24,1,26-40,121.12133333333333,0.0,False
CUST_000072,17,1767.19,103.95,purchase,24.0,Female,France,savings,2023-03-24,1,18-25,73.63291666666667,0.0,False
CUST_000073,10,1944.28,194.43,purchase,20.0,Male,Germany,savings,2021-10-25,1,18-25,97.214,0.0,False
CUST_000074,18,1969.07,109.39,purchase,34.0,Male,Germany,savings,2022-01-06,1,26-40,57.913823529411765,0.05555555555555555,False
CUST_000075,6,1106.63,184.44,deposit,23.0,Male,Spain,premium,2021-11-15,0,18-25,0.0,0.0,False
CUST_000076,7,496.0,70.86,purchase,40.0,Male,Germany,business,2019-12-31,1,41-60,12.4,0.0,False
CUST_000077,11,808.39,73.49,purchase,24.0,Female,Germany,checking,2022-07-21,1,18-25,33.682916666666664,0.0,False
CUST_000078,15,2897.94,193.2,purchase,37.0,Female,Germany,checking,2022-06-08,1,26-40,78.3227027027027,0.0,False
CUST_000079,16,819.57,51.22,purchase,50.0,Female,Spain,business,2022-03-15,1,41-60,16.3914,0.0,False
CUST_000080,16,3122.42,195.15,purchase,37.0,Female,Germany,savings,2023-03-22,0,26-40,0.0,0.0,False
CUST_000081,10,766.44,76.64,purchase,30.0,Male,France,checking,2020-09-15,1,26-40,25.548000000000002,0.0,False
CUST_000082,11,2800.66,254.61,withdrawal,24.0,Male,France,premium,2019-08-17,0,18-25,0.0,0.0,False
CUST_000083,6,1242.15,207.02,deposit,40.0,Male,Spain,savings,2021-08-04,1,41-60,31.05375,0.0,False
CUST_000084,18,1165.88,64.77,purchase,66.0,Female,Germany,checking,2021-04-15,1,60+,17.664848484848488,0.0,False
CUST_000085,8,1421.67,177.71,purchase,39.0,Female,Germany,checking,2023-03-15,1,26-40,36.45307692307693,0.0,False
CUST_000086,15,2636.82,175.79,purchase,30.0,Male,Italy,business,2022-04-06,1,26-40,87.894,0.06666666666666667,False
CUST_000087,14,1207.32,86.24,purchase,40.0,Female,Germany,business,2023-05-24,1,41-60,30.183,0.0,False
CUST_000088,12,1834.58,152.88,purchase,18.0,Male,Netherlands,checking,2022-08-12,1,18-25,101.9211111111111,0.0,False
CUST_000089,8,1061.27,132.66,deposit,43.0,Female,France,savings,2022-11-03,1,41-60,24.680697674418603,0.0,False
