loan_id,customer_id,loan_type,loan_amount,repayment_term,application_date,approved
LOAN_000001,CUST_000511,mortgage,264370.39,15,2023-12-21,False
LOAN_000002,CUST_002000,mortgage,216546.35,20,2023-01-14,True
LOAN_000003,CUST_001690,business,10000.0,3,2021-08-24,True
LOAN_000004,CUST_000501,mortgage,208070.09,30,2021-04-14,False
LOAN_000005,CUST_001196,personal,8542.61,2,2021-02-28,True
LOAN_000006,CUST_000449,personal,7929.43,2,2023-07-26,True
LOAN_000007,CUST_000136,personal,18418.02,4,2023-03-16,True
LOAN_000008,CUST_001882,auto,14212.99,6,2022-04-28,True
LOAN_000009,CUST_000530,education,40625.13,7,2022-08-19,True
LOAN_000010,CUST_001198,auto,14223.12,6,2021-10-23,True
LOAN_000011,CUST_000328,personal,19138.1,2,2021-04-17,True
LOAN_000012,CUST_000138,mortgage,184472.38,15,2022-01-31,False
LOAN_000013,CUST_000658,personal,19897.88,2,2022-05-03,True
LOAN_000014,CUST_001570,business,101624.24,5,2023-08-22,True
LOAN_000015,CUST_000806,business,145976.52,7,2021-04-29,False
LOAN_000016,CUST_000217,business,114534.69,7,2022-03-01,True
LOAN_000017,CUST_001850,education,54459.95,15,2021-04-09,True
LOAN_000018,CUST_000968,auto,24867.51,3,2022-08-21,True
LOAN_000019,CUST_001601,business,122459.01,5,2022-08-11,True
LOAN_000020,CUST_001921,mortgage,185045.89,15,2023-10-28,True
LOAN_000021,CUST_000506,personal,11577.07,2,2023-04-02,True
LOAN_000022,CUST_001823,personal,31206.78,4,2022-07-30,False
LOAN_000023,CUST_000805,personal,19399.89,3,2021-06-01,True
LOAN_000024,CUST_000219,personal,22729.86,4,2023-04-24,True
LOAN_000025,CUST_000010,business,135868.61,7,2021-03-25,True
LOAN_000026,CUST_000652,business,88060.9,3,2023-05-25,False
LOAN_000027,CUST_000447,mortgage,286392.21,20,2021-07-03,False
LOAN_000028,CUST_001826,mortgage,269211.01,20,2023-12-16,True
LOAN_000029,CUST_001198,mortgage,203876.3,15,2022-01-14,False
LOAN_000030,CUST_001945,personal,2976.61,3,2022-04-21,True
LOAN_000031,CUST_000027,personal,24830.05,4,2023-01-16,True
LOAN_000032,CUST_000331,business,116047.27,5,2021-10-18,True
LOAN_000033,CUST_001799,business,28147.62,5,2021-10-06,False
LOAN_000034,CUST_000530,personal,14395.01,3,2023-09-19,False
LOAN_000035,CUST_001504,auto,26327.45,6,2022-10-17,True
LOAN_000036,CUST_001996,auto,25332.6,3,2021-08-30,True
LOAN_000037,CUST_001071,personal,6292.64,4,2023-09-20,False
LOAN_000038,CUST_000467,personal,5516.66,4,2023-11-26,True
LOAN_000039,CUST_000127,auto,13923.43,6,2021-10-26,True
LOAN_000040,CUST_000929,education,25761.62,10,2023-08-21,True
LOAN_000041,CUST_000932,mortgage,288419.68,25,2021-11-15,True
