loan_id,customer_id,loan_type,loan_amount,repayment_term,application_date,approved,loan_rejected,total_transaction_amount,loan_to_income_ratio,age,gender,country,customer_age_group
LOAN_000001,CUST_000511,mortgage,264370.39,15,2023-12-21,False,True,1083.87,243.91337522027553,22.0,Female,Netherlands,18-25
LOAN_000002,CUST_002000,mortgage,216546.35,20,2023-01-14,True,False,678.34,319.2298110092284,40.0,Male,Austria,41-60
LOAN_000003,CUST_001690,business,10000.0,3,2021-08-24,True,False,1560.73,6.4072581420232835,55.0,Male,France,41-60
LOAN_000004,CUST_000501,mortgage,208070.09,30,2021-04-14,False,True,3505.52,59.3549858508866,54.0,Female,Germany,41-60
LOAN_000005,CUST_001196,personal,8542.61,2,2021-02-28,True,False,1190.14,7.1778194162031355,39.0,Female,Netherlands,26-40
LOAN_000006,CUST_000449,personal,7929.43,2,2023-07-26,True,False,424.41,18.68341933507693,33.0,Male,Spain,26-40
LOAN_000007,CUST_000136,personal,18418.02,4,2023-03-16,True,False,628.77,29.29214180065843,55.0,Male,France,41-60
LOAN_000008,CUST_001882,auto,14212.99,6,2022-04-28,True,False,676.46,21.010835821778077,29.0,Female,Netherlands,26-40
LOAN_000009,CUST_000530,education,40625.13,7,2022-08-19,True,False,1679.74,24.185367973614962,72.0,Female,France,60+
LOAN_000010,CUST_001198,auto,14223.12,6,2021-10-23,True,False,1140.02,12.476202171891723,34.0,Male,Italy,26-40
LOAN_000011,CUST_000328,personal,19138.1,2,2021-04-17,True,False,1170.55,16.349664687540045,21.0,Male,Germany,18-25
LOAN_000012,CUST_000138,mortgage,184472.38,15,2022-01-31,False,True,850.23,216.96762052621057,24.0,Male,Italy,18-25
LOAN_000013,CUST_000658,personal,19897.88,2,2022-05-03,True,False,1802.67,11.038004737417275,31.0,Female,Belgium,26-40
LOAN_000014,CUST_001570,business,101624.24,5,2023-08-22,True,False,523.69,194.05419236571254,59.0,Male,Spain,41-60
LOAN_000015,CUST_000806,business,145976.52,7,2021-04-29,False,True,1588.91,91.87211358730198,32.0,Male,Spain,26-40
LOAN_000016,CUST_000217,business,114534.69,7,2022-03-01,True,False,2072.48,55.264557438431254,28.0,Male,Germany,26-40
LOAN_000017,CUST_001850,education,54459.95,15,2021-04-09,True,False,1484.85,36.677071758090044,34.0,Female,Netherlands,26-40
LOAN_000018,CUST_000968,auto,24867.51,3,2022-08-21,True,False,158.97,156.42894885827513,32.0,Female,Belgium,26-40
LOAN_000019,CUST_001601,business,122459.01,5,2022-08-11,True,False,241.45,507.18165251604887,35.0,Female,Austria,26-40
LOAN_000020,CUST_001921,mortgage,185045.89,15,2023-10-28,True,False,1274.26,145.2183149435751,28.0,Female,Portugal,26-40
LOAN_000021,CUST_000506,personal,11577.07,2,2023-04-02,True,False,1961.89,5.90097813842774,18.0,Male,Spain,18-25
LOAN_000022,CUST_001823,personal,31206.78,4,2022-07-30,False,True,751.03,41.55197528727215,29.0,Male,Spain,26-40
LOAN_000023,CUST_000805,personal,19399.89,3,2021-06-01,True,False,3935.48,4.929485094575503,76.0,Female,Spain,60+
LOAN_000024,CUST_000219,personal,22729.86,4,2023-04-24,True,False,1029.26,22.083691195616268,49.0,Male,Austria,41-60
LOAN_000025,CUST_000010,business,135868.61,7,2021-03-25,True,False,677.33,200.59440745279255,43.0,Female,Austria,41-60
LOAN_000026,CUST_000652,business,88060.9,3,2023-05-25,False,True,3201.04,27.510090470597053,20.0,Female,Netherlands,18-25
LOAN_000027,CUST_000447,mortgage,286392.21,20,2021-07-03,False,True,912.38,313.895756154234,29.0,Male,Belgium,26-40
LOAN_000028,CUST_001826,mortgage,269211.01,20,2023-12-16,True,False,748.58,359.6289107376633,47.0,Male,Italy,41-60
